idTicket,solicita,idAsignado,referencia,descripcion,prioridad,estado,f_solicitud,f_respuesta,modulo,submodulo,categoria,tipo,f_cierre,f_proceso,f_atencion,sector
63761,8,0,290," -  AUDITORIA PENDIENTE",1,1,"2018-06-05 08:06:31",NULL,,,,1,"0000-00-00 00:00:00","2018-06-05 08:06:31","0000-00-00 00:00:00",1
63762,8,0,570," -  AUDITORIA PENDIENTE",1,1,"2018-06-05 08:06:03",NULL,,,,1,"0000-00-00 00:00:00","2018-06-05 08:06:03","0000-00-00 00:00:00",1
63763,8,0,82," -  AUDITORIA PENDIENTE",1,1,"2018-06-05 08:06:27",NULL,,,,1,"0000-00-00 00:00:00","2018-06-05 08:06:27","0000-00-00 00:00:00",1
63764,8,0,34," -  AUDITORIA PENDIENTE",1,1,"2018-06-05 08:06:56",NULL,,,,1,"0000-00-00 00:00:00","2018-06-05 08:06:56","0000-00-00 00:00:00",1
63765,8,0,507," -  RODILLO DEFECTUOSO",NULL,1,"2018-06-05 08:06:20",NULL,,,,1,"0000-00-00 00:00:00","2018-06-05 08:06:20","0000-00-00 00:00:00",1
63766,8,0,646," -  MOTHERBOARD QUEMADO",NULL,1,"2018-06-05 08:06:46",NULL,,,,1,"0000-00-00 00:00:00","2018-06-05 08:06:46","0000-00-00 00:00:00",1
63767,8,0,845," -  BLACK PLANE",1,2,"2018-06-05 08:06:48",NULL,,,,1,"0000-00-00 00:00:00","2018-06-05 08:06:48","0000-00-00 00:00:00",1
63768,8,0,844," -  BLACK PLANE",1,2,"2018-06-05 08:06:17",NULL,,,,1,"0000-00-00 00:00:00","2018-06-05 08:06:17","0000-00-00 00:00:00",1
63769,8,0,871," -  BLACK PLANE",1,2,"2018-06-05 08:06:43",NULL,,,,1,"0000-00-00 00:00:00","2018-06-05 08:06:43","0000-00-00 00:00:00",1
63770,8,0,856," -  ACEPTADOR -  BLACK PLANE",1,2,"2018-06-05 08:06:35",NULL,,,,1,"0000-00-00 00:00:00","2018-06-05 08:06:35","0000-00-00 00:00:00",1
63771,8,0,596," -  MOTHERBOARD QUEMADO",NULL,1,"2018-06-05 12:06:45",NULL,,,,1,"0000-00-00 00:00:00","2018-06-05 12:06:45","0000-00-00 00:00:00",1
63772,8,0,90," -  ACEPTADOR",1,2,"2018-06-05 12:06:59",NULL,,,,1,"0000-00-00 00:00:00","2018-06-05 12:06:59","0000-00-00 00:00:00",1
63773,8,0,610," -  BATERIA BAJA",NULL,2,"2018-06-07 10:06:57",NULL,,,,1,"0000-00-00 00:00:00","2018-06-07 10:06:57","0000-00-00 00:00:00",1
63774,5,0,234,"Problema de aceptador -  CORREAS DE ACEPTADOR",1,2,"2018-06-07 14:06:46",NULL,,,,1,"0000-00-00 00:00:00","2018-06-07 14:06:46","0000-00-00 00:00:00",1
63775,5,0,234,"aceptador -  CORREAS DE ACEPTADOR",1,3,"2018-06-07 14:06:59",NULL,,,,1,"0000-00-00 00:00:00","2018-06-07 14:06:59","0000-00-00 00:00:00",1
63776,5,0,205," -  PANTALLA PRINCIPAL DAÑADA",1,2,"2018-06-07 14:06:52",NULL,,,,1,"0000-00-00 00:00:00","2018-06-07 14:06:52","0000-00-00 00:00:00",1
63777,5,0,234,"correas -  STACKER ROTO",1,2,"2018-06-07 21:06:59",NULL,,,,1,"0000-00-00 00:00:00","2018-06-07 21:06:59","0000-00-00 00:00:00",1
63778,8,0,48,"falla una tecla",3,2,"2018-06-08 19:06:38",NULL,,,,1,"0000-00-00 00:00:00","2018-06-08 19:06:38","0000-00-00 00:00:00",1
63779,5,0,348,"pasan billetes de largo",2,2,"2018-06-09 06:06:36",NULL,,,,1,"0000-00-00 00:00:00","2018-06-09 06:06:36","0000-00-00 00:00:00",1
63780,5,0,810,"touch rayado",1,2,"2018-06-09 06:06:13",NULL,,,,1,"0000-00-00 00:00:00","2018-06-09 06:06:13","0000-00-00 00:00:00",1
63781,5,0,853,"monitor apagado",NULL,2,"2018-06-09 06:06:07",NULL,,,,1,"0000-00-00 00:00:00","2018-06-09 06:06:07","0000-00-00 00:00:00",1
63782,8,0,738," -  PANTALLA COLORES ERRONEOS",2,2,"2018-06-09 06:06:52",NULL,,,,1,"0000-00-00 00:00:00","2018-06-09 06:06:52","0000-00-00 00:00:00",1
63783,8,0,763,"se apaga el monitor por temperatura",2,2,"2018-06-09 06:06:45",NULL,,,,1,"0000-00-00 00:00:00","2018-06-09 06:06:45","0000-00-00 00:00:00",1
63784,5,0,591,"aceptador Ivizion nucleo",1,2,"2018-06-09 21:06:30",NULL,,,,1,"0000-00-00 00:00:00","2018-06-09 21:06:30","0000-00-00 00:00:00",1
63785,5,0,843,"error de impresora",1,2,"2018-06-09 22:06:23",NULL,,,,1,"0000-00-00 00:00:00","2018-06-09 22:06:23","0000-00-00 00:00:00",1
63786,5,0,839,"error de impresora",1,2,"2018-06-09 22:06:36",NULL,,,,1,"0000-00-00 00:00:00","2018-06-09 22:06:36","0000-00-00 00:00:00",1
63787,5,0,30,"aceptador ivizion acreditó billete de $500 como  $1",1,2,"2018-06-09 22:06:24",NULL,,,,1,"0000-00-00 00:00:00","2018-06-09 22:06:24","0000-00-00 00:00:00",1
63788,5,0,798,"No recicla el aceptador -  ACEPTADOR",1,2,"2018-06-10 12:06:03",NULL,,,,1,"0000-00-00 00:00:00","2018-06-10 12:06:03","0000-00-00 00:00:00",1
63789,5,0,769,"no tiene imagen la pantalla idec -  MONITOR",1,2,"2018-06-10 13:06:54",NULL,,,,1,"0000-00-00 00:00:00","2018-06-10 13:06:54","0000-00-00 00:00:00",1
63790,5,0,396,"motor aceptador clavado",1,2,"2018-06-10 23:06:13",NULL,,,,1,"0000-00-00 00:00:00","2018-06-10 23:06:13","0000-00-00 00:00:00",1
63791,5,0,9,"falla aceptador -  CORREAS DE ACEPTADOR",1,2,"2018-06-10 23:06:05",NULL,,,,1,"0000-00-00 00:00:00","2018-06-10 23:06:05","0000-00-00 00:00:00",1
63792,5,0,413," -  MOTHERBOARD QUEMADO -  MOTHERBOARD -  BOTONERA",1,2,"2018-06-10 23:06:10",NULL,,,,1,"0000-00-00 00:00:00","2018-06-10 23:06:10","0000-00-00 00:00:00",1
63793,8,0,589,"se apaga el monitor",2,2,"2018-06-11 08:06:19",NULL,,,,1,"0000-00-00 00:00:00","2018-06-11 08:06:19","0000-00-00 00:00:00",1
63794,5,0,608,"touch roto -  TOUCH DEL DECK",1,1,"2018-06-11 16:06:17",NULL,,,,1,"0000-00-00 00:00:00","2018-06-11 16:06:17","0000-00-00 00:00:00",1
63795,5,0,414,"teclado en corto -  BOTONERA",2,2,"2018-06-11 21:06:35",NULL,,,,1,"0000-00-00 00:00:00","2018-06-11 21:06:35","0000-00-00 00:00:00",1
63796,8,0,840," -  BLACK PLANE",1,2,"2018-06-12 16:06:01",NULL,,,,1,"0000-00-00 00:00:00","2018-06-12 16:06:01","0000-00-00 00:00:00",1
63797,8,0,153," -  ACEPTADOR",1,2,"2018-06-13 08:06:09",NULL,,,,1,"0000-00-00 00:00:00","2018-06-13 08:06:09","0000-00-00 00:00:00",1
63798,8,0,840," -  RAM0",1,2,"2018-06-14 15:06:55",NULL,,,,1,"0000-00-00 00:00:00","2018-06-14 15:06:55","0000-00-00 00:00:00",1
63799,8,0,797," -  ACEPTADOR",1,2,"2018-06-14 15:06:34",NULL,,,,1,"0000-00-00 00:00:00","2018-06-14 15:06:34","0000-00-00 00:00:00",1
63800,8,0,839," -  RAM0",1,2,"2018-06-14 15:06:04",NULL,,,,1,"0000-00-00 00:00:00","2018-06-14 15:06:04","0000-00-00 00:00:00",1
63801,5,0,32,"falla monitor y fuente -  FUENTE -  MONITOR",1,2,"2018-06-15 18:06:31",NULL,,,,1,"0000-00-00 00:00:00","2018-06-15 18:06:31","0000-00-00 00:00:00",1
63802,5,0,856,"falla aceptador y backplane.",1,1,"2018-06-16 17:06:59",NULL,,,,1,"0000-00-00 00:00:00","2018-06-16 17:06:59","0000-00-00 00:00:00",1
63803,5,0,861,"No estaquea -  ACEPTADOR",1,2,"2018-06-20 21:06:05",NULL,,,,1,"0000-00-00 00:00:00","2018-06-20 21:06:05","0000-00-00 00:00:00",1
63804,8,0,22," -  ACEPTADOR",1,2,"2018-06-21 08:06:14",NULL,,,,1,"0000-00-00 00:00:00","2018-06-21 08:06:14","0000-00-00 00:00:00",1
63805,8,0,559," -  FUENTE PRINCIPAL",1,2,"2018-06-21 08:06:50",NULL,,,,1,"0000-00-00 00:00:00","2018-06-21 08:06:50","0000-00-00 00:00:00",1
63806,5,0,110,"falla placa de la impresora -  NO IMPRIME",1,2,"2018-06-24 05:06:38",NULL,,,,1,"0000-00-00 00:00:00","2018-06-24 05:06:38","0000-00-00 00:00:00",1
63807,5,0,390,"falla de aceptador -  ACEPTADOR",1,2,"2018-06-25 03:06:00",NULL,,,,1,"0000-00-00 00:00:00","2018-06-25 03:06:00","0000-00-00 00:00:00",1
63808,5,0,305,"falla de aceptador -  CORREAS DE ACEPTADOR",1,2,"2018-06-25 03:06:43",NULL,,,,1,"0000-00-00 00:00:00","2018-06-25 03:06:43","0000-00-00 00:00:00",1
63809,5,0,869,"falla de impresora -  PLACA DE ACEPTADOR -  ERROR DE IMPRESORA",1,1,"2018-06-25 03:06:37",NULL,,,,1,"0000-00-00 00:00:00","2018-06-25 03:06:37","0000-00-00 00:00:00",1
63810,5,0,217," -  ACEPTADOR",1,2,"2018-06-25 03:06:44",NULL,,,,1,"0000-00-00 00:00:00","2018-06-25 03:06:44","0000-00-00 00:00:00",1
63811,5,0,217,"falla nucleo del aceptador",1,2,"2018-06-25 03:06:07",NULL,,,,1,"0000-00-00 00:00:00","2018-06-25 03:06:07","0000-00-00 00:00:00",1
63812,8,0,425," -  SWITCH LAN DAÑANDO -  PLACA DE VIDEO",1,1,"2018-06-26 12:06:38",NULL,,,,1,"0000-00-00 00:00:00","2018-06-26 12:06:38","0000-00-00 00:00:00",1
63813,5,0,369,"BLOCK DATA CORRUPT",1,2,"2018-06-26 23:06:07",NULL,,,,1,"0000-00-00 00:00:00","2018-06-26 23:06:07","0000-00-00 00:00:00",1
63814,5,0,378,"No acepta billetes ni tickets -  ACEPTADOR",1,2,"2018-06-27 21:06:50",NULL,,,,1,"0000-00-00 00:00:00","2018-06-27 21:06:50","0000-00-00 00:00:00",1
63815,5,0,16," -  ACEPTADOR",1,2,"2018-06-27 21:06:24",NULL,,,,1,"0000-00-00 00:00:00","2018-06-27 21:06:24","0000-00-00 00:00:00",1
63816,5,0,959," -  MEMORIA CON ERROR",1,1,"2018-06-28 21:06:15",NULL,,,,1,"0000-00-00 00:00:00","2018-06-28 21:06:15","0000-00-00 00:00:00",1
63817,5,0,798," -  ACEPTADOR",1,1,"2018-06-28 21:06:09",NULL,,,,1,"0000-00-00 00:00:00","2018-06-28 21:06:09","0000-00-00 00:00:00",1
63818,5,0,636,"pasan billetes de largo -  ACEPTADOR",1,2,"2018-06-29 05:06:32",NULL,,,,1,"0000-00-00 00:00:00","2018-06-29 05:06:32","0000-00-00 00:00:00",1
